"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2015","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940934834&doi=10.1163%2f15700631-12340103&partnerID=40&md5=546aed9f031e614ac9b0d89b294582a0","University of Kansas, Department of Religious Studies, 103 Smith Hall, 1300 Oread Ave, Lawrence, 66044, KS, United States","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021109797&partnerID=40&md5=4a72744eb28aa8146967927dc273a984","Lucian Blaga University of Sibiu, Sibiu, Romania","","English"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019605060&doi=10.1080%2f02773945.2017.1320727&partnerID=40&md5=ea1b50c6302ce27b4dc6d6c73206b466","Department of English, Louisiana State University, 260 Allen Hall, Baton Rouge, 70803-2804, LA, United States","","English"
"2001","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035137593&doi=10.1136%2fjme.27.1.12&partnerID=40&md5=be25a6b039631859db9cc2e6d915df2d","Hebrew Rehabilitation Center for Aged, Boston, MA, United States","","English"
"2004","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924046082&doi=10.1093%2foxfordhb%2f9780199280322.013.0003&partnerID=40&md5=8aae8b7fe19bd6918ef3ae807c8574dd","University of Oxford, United Kingdom; Oxford Centre for Hebrew and Jewish Studies, United Kingdom","","English"
"1998","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032193287&partnerID=40&md5=84fefe1738334d656bc1177a2a0d55ef","Department of Medicine, Mt. Sinai Serv. at Queens Hosp. Ctr., Jamaica, NY, United States; Department of Medicine, Mount Sinai School of Medicine, New York, NY, United States; Queens Hospital Center, Jamaica, NY 11432, 82-68 164th Street, United States","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84555170238&partnerID=40&md5=b00e9243a784237f88ac52ea7730781e","Facoltà di Filosofia, Università La Sapienza, 00161 Roma, Via Carlo Fea 2, Italy","","German"
"2022","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080891456&doi=10.1080%2f07481187.2020.1734114&partnerID=40&md5=16a0e424702b7f9bdd410622978be0ab","School of Nursing, Academic College of Tel Aviv Jaffa, Tel-Aviv, Israel","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111437233&doi=10.3390%2frel12080560&partnerID=40&md5=a6ab774e8d596fbe554bd42677e7f1e8","Department of Religious Studies and Theology, Saint Mary’s College, Notre Dame, 46556, IN, United States","","English"
"2014","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892875838&doi=10.1007%2fs11089-013-0523-y&partnerID=40&md5=d642854d272ff565685be9a14e369305","Bar-Ilan University, Ramat Gan, Israel; Warwick Religions and Education Research Unit, Institute of Education, The University of Warwick, Coventry, CV4 7AL, United Kingdom; Glyndŵr University, Wales, United Kingdom","","English"
