"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097768817&doi=10.31166%2fVoprosyIstorii202010Statyi83&partnerID=40&md5=2ec92383194edcfa8b1b299cd5ace36b","Institute for Mongolian, Buddhist and Tibetan Studies of SB RAS, Ulan-Ude, Russian Federation","","Russian"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087994837&doi=10.1007%2f978-94-007-6350-0_5&partnerID=40&md5=48e85106b9be2d33b0db93891614571f","School of Engineering Education, Purdue University, Armstrong Hall, 701 West Stadium Ave., West Lafayette, 47907-2045, IN, United States","National Science Foundation, NSF","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089913618&doi=10.1080%2f23729988.2020.1763678&partnerID=40&md5=d1f445e9b43744eaac3457c41341d1f9","Research Institute of Korea, Nanjing University, Nanjing, China","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132281394&partnerID=40&md5=a299626eb0e8964b0fffcd91a0d54215","history department, Fudan University, China","","English"
"2019","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076267557&doi=10.1353%2fjkr.2019.0011&partnerID=40&md5=1625a66e339234e6d045e51c07c6c3a0","Department of Religious Studies, Seoul National University, South Korea; Department of Asian Studies, University of British Columbia, Canada","Korean Studies Promotion Service of the Academy of Korean Studies, (AKS-2013-LAB-2250001); Ministry of Education, MOE","English"
"2011","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81355123406&doi=10.1007%2fs11466-011-0154-2&partnerID=40&md5=73591b7c9a281868fac31a6e7817dea6","Department of Philosophy, Shaanxi Normal University, Xi'an 710062, China","","English"
"2012","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011141930&doi=10.1080%2f0048721X.2012.642576&partnerID=40&md5=8e0a769334402f658ab036093b66fc91","Center for Religious Studies, Ruhr-University Bochum, Germany","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073266594&doi=10.18874%2fjjrs.46.1.2019.31-51&partnerID=40&md5=c101f7ed545b91e43d467d03afd944a2","Illinois College, United States","","English"
"2020","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090575893&doi=10.22394%2f2073-7203-2020-38-1-106-122&partnerID=40&md5=f13542aff3834836c665b678611bcd3e","Vytautas Magnus University, Kaunas, Lithuania","","Russian"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110421514&doi=10.1163%2f22118349-01002008&partnerID=40&md5=64725ec380292e515d9191856a5f8802","National University of Ireland Maynooth, Maynooth, Ireland","","English"
"2012","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858590776&doi=10.1080%2f13674676.2011.569928&partnerID=40&md5=fe157785e238a2d601a9d1130dd41f3c","Department of Transcultural and Historical Research in Psychotherapy, English-Language Programmes, Sigmund Freud University Vienna, 1030 Vienna, Schnirchgasse 9a, Austria","","English"
"2016","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977272574&doi=10.1163%2f15685276-12341393&partnerID=40&md5=7e80e511542ef32bffe527e378429fe7","Stockholm University, Department of History of Religions, Stockholm, 106 91, Sweden","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923233443&doi=10.1093%2foxfordhb%2f9780195137989.003.0008&partnerID=40&md5=19d160959fc7b44065d2f192f826cd95","Princeton University, United States","","English"
"2006","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749514989&doi=10.3917%2fsoc.092.34&partnerID=40&md5=a4caba1788b4c953c886465b9524b2f8","CEAQ/Paris V René Descartes, France","","French"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035151263&partnerID=40&md5=5241609e804fc2440389acdecb51a768","Seoul National University, South Korea","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031700904&doi=10.3167%2farrs.2017.080112&partnerID=40&md5=5ac0f8dc61d6f6b8d35aa7cfd9a009a7","Department of Asian Languages and Cultures, University of Michigan, United States","Cornell University's Southeast Asia Program","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047065842&partnerID=40&md5=5adaa5f3839da948a1ecc3fcf535ebc1","Center for Transcultural Studies, University of Heidelberg, Germany","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127555853&doi=10.21427%2f8ZAE-HE66&partnerID=40&md5=38b01aee7a1b9252e0792b86bac7ecca","Constance University of Applied Sciences, Germany","","English"
"2010","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349290744&doi=10.1111%2fj.1467-9744.2010.01137.x&partnerID=40&md5=b56148f3b1da9a1cccb8393273ab35ee","Science and Religion at the University of Oxford, Harris Manchester College, Oxford OX1 3TD, Mansfield Road, United Kingdom","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072606142&doi=10.14712%2f23366680.2019.1.7&partnerID=40&md5=6a18fc4ce3c8dfbf4bc1b9b270d730ae","Uniwersytet Warszawski, Instytut Slawistyki zachodniej i Południowej, Poland; Uniwersytet Warszawski, Instytut Polonistyki Stosowanej, Poland","","Czech"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109039096&doi=10.21146%2f0042-8744-2021-6-192-206&partnerID=40&md5=077b6ffbc4cc6bae715d5c553bd7833d","Institute of East Culture, 70 lit. 1, Revolyutsionnaya str, Samara, 443080, Russian Federation","","Russian"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057033903&doi=10.1080%2f21697213.2016.1196059&partnerID=40&md5=69c0ec554ac2dd5d47811059f6b45527","Accounting Department, School of Management, Xiamen University, Xiamen, China; Xiamen National Accounting Institute, Xiamen, China","Key Project of Key Research Institute of Humanities and Social Science in Ministry of education, (13JJD790027); National Natural Science Foundation of China, NSFC, (NSFC-71572162)","English"
"2012","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864186325&doi=10.1177%2f000944551104800202&partnerID=40&md5=4d3cccd38270b203d1e7838249c7386c","Baruch College, City University of New York, Nalanda-Sriwijaya Centre, Singapore, Singapore","","English"
"2007","37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247191973&partnerID=40&md5=0447e68473f39e05f967c6022cf0ec68","Department of Psychology, University of West Florida, Pensacola, FL 32514-5751, United States","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032676019&doi=10.24201%2feaa.v52i3.2225&partnerID=40&md5=11c9176eb53b1307667c249d5140e33a","Universidad del Desarrollo, Mexico","Constitución de la República Popular China; Oficina Nacional de Asuntos Religiosos; Universidad de Comunicaciones de China; Secretaría de Medio Ambiente y Recursos Naturales; Consejo de Ciencia y Tecnología del Estado de Chiapas","Spanish"
"2014","74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911969662&doi=10.1007%2fs10551-013-1917-6&partnerID=40&md5=98aec529a9818a9adf9273d5114c2453","Accounting Department, School of Management, Xiamen University, No. 422, Siming South Road, Xiamen, 361005, Fujian, China","Key Project of Key Research Institute of Humanities and Social Science in Ministry of Education, (13JJD790027); National Natural Science Foundation of China, NSFC, (71072053); Specialized Research Fund for the Doctoral Program of Higher Education of China, SRFDP, (20120121110007)","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101668938&doi=10.1002%2f9781118610398.ch22&partnerID=40&md5=51b0c3dd0cf04a0f7caa8f2d7b687230","University of Iowa, United States","","English"
"2016","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945242166&doi=10.1080%2f0048721X.2015.1091217&partnerID=40&md5=512b901a94602ebd2cd23c601d2a95f7","Department of Religious Studies, Southwest Missouri State University, 901 South National Avenue, Strong Hall 269, Springfield, 65804, MO, United States","","English"
"2014","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905184307&doi=10.1037%2fa0036420&partnerID=40&md5=949d3ccbb44e948622bf7f4aa29a1ece","School of Life Sciences, University of Westminster, United Kingdom; Department of Psychology, University of East London, Stratford Campus, London E154LZ, Water Lane, United Kingdom; Department of Psychology, University of Westminster, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139700640&doi=10.1177%2f2455328X221128471&partnerID=40&md5=39e19a7522169154ecd0b48d4a4e841e","Department of History, Jadavpur University, West Bengal, Kolkata, India","Indian Council of Historical Research, ICHR, (1-39/2019)","English"
"2016","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962426727&doi=10.3366%2fswc.2016.0134&partnerID=40&md5=6c8b39c6825d79c1ce1f4310717940c3","Graduate Division of Religious Studies, Boston University, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121801136&doi=10.22250%2f2072-8662.2021.4.64-77&partnerID=40&md5=dd323002346d1a8b4ea5ea0de334bf79","Amur State University, 21 Ignatievskoe shosse, Blagoveshchensk, 675027, Russian Federation","National Natural Science Foundation of China, NSFC, (41201061, 41663010); Natural Science Foundation of Hainan Province, (2019RC012, 418MS019); National Key Research and Development Program of China, NKRDPC, (2018YFD0201105)","Russian"
"2019","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074276270&doi=10.5281%2fzenodo.3238225&partnerID=40&md5=c1d2460b0d02f9333356e5988a14b7cf","University of Copenhagen, United States","Danish Independent Research Council; Den Frie Forskningsfond; French National Center for Scientific Research on; Max Planck Institute for Social Anthropology; Carlsbergfondet; Centre National de la Recherche Scientifique, CNRS; University of British Columbia, UBC","English"
"2015","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950325603&doi=10.1556%2f062.2015.68.4.4&partnerID=40&md5=25615ea4cf6b35f65a33894c55f1f778","Renmin University of China, Institute of Chinese Classics, Zhongguan cun dajie, 59, Beijing, Haidian, 100872, China","","English"
