"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107539068&partnerID=40&md5=ee85fbcf398899ae768ef3c316b55f40","University of Southampton, United Kingdom","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107546139&partnerID=40&md5=c9870c5009e8d289fa183e3bcac866d2","University of Chicago, United States","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145676673&doi=10.1057%2f978-1-137-59698-7_16&partnerID=40&md5=43f38821678bd9ff2668d58fbf9260f8","Office of External Affairs for the Australian Baha’i Community, Canberra, Australia","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898027017&partnerID=40&md5=295c7358e554496f9b82b58213145f1b","Middle East Media Research Institute (Memri), European Foundation for Democracy (EFD), United States","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942115685&doi=10.1108%2fS1572-832320150000024011&partnerID=40&md5=7ccbca5e6c9c82a6425172f383e45bcf","","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876281268&doi=10.1080%2f00210862.2012.758480&partnerID=40&md5=8192677834d01eef22bdd420e33417cd","Department of History, Western Washington University, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131111336&partnerID=40&md5=15e8f25a0edb50193d20f295433bf343","Universities of London and Cambridge, United Kingdom; London School of Economics, United Kingdom","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900574840&partnerID=40&md5=c4983df97df83cf6149b8c859e2bee9f","Vassar College, United States","","English"
"1995","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990581950&doi=10.1002%2fj.2161-007X.1995.tb00939.x&partnerID=40&md5=f7195aa58374cb43a7c7f57a75ec8058","","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057699164&partnerID=40&md5=f3197b3fdd63ef09b4579636d855bdfd","University of Toronto, Canada","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057684593&partnerID=40&md5=e325c356ddad9afda7a694fbc8a63117","University of Kent, Canterbury, United Kingdom","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923506749&doi=10.1093%2foxfordhb%2f9780195301052.003.0024&partnerID=40&md5=81651cd594ebea2d683deedc8190ca80","Social Science Division, Mahidol University International College, Thailand","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097141352&doi=10.3390%2frel11120652&partnerID=40&md5=71afdee4db7eb33e504191ab891c41c0","School of Politics and Law, Ningxia University, Yinchuan, 750021, China; Department of Sociology, Nankai University, Tianjing, 300350, China","Scientific Research Foundation of Ningxia University","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091533949&doi=10.1163%2f15700739-07203006&partnerID=40&md5=81d32ba1f7ae9efe775298cdb08bb022","","","German"
"2020","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118534177&doi=10.1007%2f978-3-030-27953-0_13&partnerID=40&md5=a073907d776e606a028db720eb9db2d8","University of Melbourne, Melbourne, Australia","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135270136&doi=10.1163%2f18710328-bja10026&partnerID=40&md5=37b852e64db7dbf196f44df833104c1b","School of Advanced Study, University of London, London, United Kingdom","","English"
"2011","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951549681&doi=10.1007%2fs10761-010-0129-3&partnerID=40&md5=2124f353232180e8249d1678871a9491","The Leon Recanati Institute for Maritime Studies, University of Haifa, Haifa 31905, Israel","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129639447&doi=10.1080%2f17400201.2022.2061435&partnerID=40&md5=5072439d68064e5c584c08595f555985","Bahá’í Chair for World Peace, College of Behavioral and Social Sciences, University of Maryland College Park, MD, United States","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871548633&doi=10.1111%2fj.1467-9809.2012.01225.x&partnerID=40&md5=f7c385a9a87487253da0e6e2350b09b9","","","English"
"2011","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960501911&doi=10.1057%2f9780230321458&partnerID=40&md5=7e5ca26bdc044b8b3a4e24faef09ce21","","","English"
"1989","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024629379&partnerID=40&md5=52e9122fca0fc0de54c64bcc4f0959d5","","","German"
"2003","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037560856&doi=10.1177%2f0037768603050002008&partnerID=40&md5=d896f1e526107778d20a97aaafecc7d5","2316 RC, Leiden, Bernhardstraat 79, Netherlands; University of Leiden, Leiden, Netherlands","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107527825&partnerID=40&md5=38395f24199c2f65c13423843186ae14","University of Oxford, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121773987&doi=10.3390%2fnu14010148&partnerID=40&md5=b8bcb73f159018e7c531102e3742df6e","Experimental and Clinical Research Center (ECRC), a Cooperation between Charité—Universitätsmedizin Berlin and Max-Delbrück-Center for Molecular Medicine, Berlin, 13125, Germany; Berlin Institute of Health, Corporate Member of Freie Universität Berlin and Humboldt Universität zu Berlin, Charité—Universitätsmedizin Berlin, Berlin, 10117, Germany; Max-Delbrück-Center for Molecular Medicine (MDC) in the Helmholtz Association, Berlin, 13125, Germany; DZHK (German Centre for Cardiovascular Research), Berlin, 10785, Germany; Institute of Social Medicine, Epidemiology & Health Economics, Corporate Member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Charité—Universitätsmedizin Berlin, Charitéplatz 1, Berlin, 10117, Germany; Department of Internal and Integrative Medicine, Immanuel Krankenhaus Berlin, Berlin, 14109, Germany","Max Delbruck Center for Molecular Medicine, (48149 M?nster); Charité – Universitätsmedizin Berlin","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149623019&doi=10.3390%2fh10010002&partnerID=40&md5=66f36805f3f6d19feb36c235848a95e3","Durham, DH1 5LD, United Kingdom","","English"
"2006","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747719855&doi=10.1007%2fs10943-006-9034-9&partnerID=40&md5=ea78a2ccbf229656e2131a1be6a30573","University of Great Falls, United States; North Central University, United States; Great Falls, MT 59401, 1400 3rd Ave No., United States","","English"
"2006","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027760014&partnerID=40&md5=69d2096068b50cd03f949253d8bcc871","University of South Florida, Tampa, United States","","English"
"2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871542641&doi=10.1111%2fj.1467-9809.2012.01233.x&partnerID=40&md5=c647158ae44c0306b7a4feb84992cd25","Eastern Kentucky University, United States","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105052300&partnerID=40&md5=0ca8aad7e4ce0eafd6eb8589184a41fd","Bahá'í International Community, United Nations Office, United States; University of Cambridge, Selwyn College, United Kingdom; Leadership Team of the Women's Caucus, American Academy of Religion, United States","","English"
"2013","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876972836&doi=10.1080%2f0048721X.2012.705975&partnerID=40&md5=69bdfb69d0c385cedb4963b3d39312c7","Formerly Newcastle University, United Kingdom","","English"
"2006","59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745956228&doi=10.1016%2fj.geoforum.2006.01.002&partnerID=40&md5=b54c7873ec6eb4c74ae65a91388fe310","Department of Geography, Geology, and Anthropology, Indiana State University, Terre Haute, IN 47809, United States; Department of Geography and Environmental Studies, University of Haifa, Haifa, 42860, Israel","Indiana State University College of Arts & Sciences; Office of International Affairs, IA","English"
"1988","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952199800&doi=10.1300%2fJ104v08n02_09&partnerID=40&md5=fec1f65474991d4833d84daee529af30","World Centre Library, Haifa, 31001, Israel","","English"
"2011","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916998028&doi=10.1093%2foxfordhb%2f9780195301052.001.0001&partnerID=40&md5=1c72fd533820b44cf1426094f8c52f80","Loyola University New Orleans, United States","","English"
"2007","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048936976&doi=10.1016%2fj.religion.2007.06.008&partnerID=40&md5=59d3078b7798e76722c83ada5796abef","","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107560524&partnerID=40&md5=3f7e8c161dd43b6727b7f9edcf32e7a6","University of Haifa, Israel","","English"
"2004","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66949159086&doi=10.2143%2fREJ.163.1.504723&partnerID=40&md5=9315f4c6256a2dcb58da9f300ce36cb0","","","French"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890431243&doi=10.1080%2f13530194.2013.828530&partnerID=40&md5=895b2fa20525d1c54d123dcbddb9b3f9","","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977176805&doi=10.1163%2f18710328-12341300&partnerID=40&md5=5dbf2d71cdd4f482b353cf8fda583b14","Guardian Chambers, Auckland, New Zealand","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969752898&partnerID=40&md5=cbdb2cf5870ee2977338317e11810402","","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350723500&doi=10.1558%2fpome.v11i1.124&partnerID=40&md5=01de72278d06d3657fbaf598a639bac6","","","English"
"1998","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141768915&doi=10.2307%2f1387523&partnerID=40&md5=dae6a52ddbf7346b9762ba1f734becd3","Department of History, University of Michigan, Ann Arbor, MI 48109-1003, United States","","English"
"2021","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109008839&doi=10.1037%2frel0000423&partnerID=40&md5=6131d5e8cdebf605255828a4e3e364f3","Cluster of Excellence “Religion & Politics”, University of Munster, Munster, Germany; Institute of Social Medicine, Epidemiology and Health Economics, Charite – Universitatsmedizin Berlin, Berlin, Germany","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886485972&doi=10.1558%2fimre.v16i2.157&partnerID=40&md5=baaf4538cfbf5a07e1c97af8fcc7f676","","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139304612&doi=10.1002%2f9781118785539.ch33&partnerID=40&md5=c9ffdc5e7cd90219cbcb750617b4ddb4","","","English"
