"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063299975&doi=10.1080%2f00144940.2019.1581123&partnerID=40&md5=9b44c886036a3d831f2145fe303f89cc","Boston University, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125502181&doi=10.53737%2f2713-2021.2021.13.42.022&partnerID=40&md5=9ee662230120a0c853d4c8cdd05516bc","Azov History, Archaeology and Paleontology Museum-Reserve, Rostov region, 38/40 Moskovskaya St., Azov, 346780, Russian Federation","","Russian"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054076193&doi=10.20318%2frevhisto.2018.4302&partnerID=40&md5=371f21108ebe1bd22e0691ca446f8269","Universidad de Las Palmas de Gran Canaria, Spain","","Spanish"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103944785&partnerID=40&md5=4663df8a4f34e5819dcaf4a74d6384a5","","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021164651&doi=10.1163%2f9789004343290_011&partnerID=40&md5=18a3676b124905188991ef456af22736","","","English"
"2016","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106119641&doi=10.4324%2f9781315478371-8&partnerID=40&md5=95db77e00616e2b98067afa43d8eb414","Department for the Study of Religions, Masaryk University, Brno, Czech Republic","","English"
"2011","61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939500520&doi=10.1093%2facprof%3aoso%2f9780195067880.001.0001&partnerID=40&md5=91f8d99e5cb75a6ddedb4e542d4fbf35","Boston University, United States","","English"
"1965","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861106371&doi=10.1163%2f156852765X00032&partnerID=40&md5=8487da145d72d370d56e1215fb5c36b9","","","English"
"1971","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864888940&doi=10.3758%2fBF03207001&partnerID=40&md5=704b086306b5aa350372d68c4ad5c4eb","University of Oregon, Eugene, 97403, Oregon, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119382855&doi=10.1093%2fcrj%2fclaa032&partnerID=40&md5=6176f4100f7c94b96a17dcf8cf7ae6df","David Walsh Is An Honorary Research Fellow, University of Kent, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110090585&doi=10.1080%2f10477845.2021.1946948&partnerID=40&md5=92b5bbc4dd070015fb4d7941b76c5036","School of Humanities, Penang, Gelugor, Malaysia","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070471712&doi=10.37095%2fgephyra.513176&partnerID=40&md5=8306eb7040bcd08877d4cdf1c93c201b","Jürgen Borchhardt, Rennweg 89/1/5, Wien, 1030, Austria","","German"
"1925","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959614824&doi=10.1017%2fS0041977X0000046X&partnerID=40&md5=3aac7646b474c3a53e04032b7a8207c1","","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072563059&doi=10.1556%2f068.2018.58.1-4.40&partnerID=40&md5=a8f848b7c05ed93ebd8610aaf7a416e1","Institute of Classical and Oriental Studies, John Paul II Catholic University of Lublin, Poland","","English"
"1970","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447473555&doi=10.1017%2fS0041977X00145100&partnerID=40&md5=1e49e6cf5e9a9e7004fe483f0d2aa864","","","English"
"1951","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861103539&doi=10.1163%2f156852551X00318&partnerID=40&md5=8891f5e276be384785dcf91c86918d45","","","English"
"1968","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250506671&doi=10.1007%2fBF00211211&partnerID=40&md5=460c5247ec54ea841c8dc4165b7b0687","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142043033&doi=10.4324%2f9781003283645&partnerID=40&md5=cdc981c65de72f05721e24bf14622260","","","English"
"1971","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864888830&doi=10.3758%2fBF03208131&partnerID=40&md5=13c0f04552253c10d05037cc08a36caf","","","English"
"2017","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140187178&doi=10.4324%2f9781315085333&partnerID=40&md5=b8763723cc1714d07b3632f75d670522","","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056130257&doi=10.1515%2fopth-2018-0036&partnerID=40&md5=01431758e5338471342107e139e9557e","School of Theology, University of California at Davis, Berkeley, CA, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072695958&doi=10.1556%2f068.2018.58.1-4.1&partnerID=40&md5=b78f03423254d19d515d87984b509ae3","Department of Classics, Brandeis University, Waltham, MA, United States; Department of Cultures and Civilisations, University of Verona, Italy; Soprintendenza Archeologia, Belle Arti e Paesaggio per l Area Metropolitana di Roma, La Provincia di Viterbo e l Etruria Meridionale, Roma, Italy; Department of Classics, Pázmány Péter Catholic University, Budapest, Hungary","","English"
"1964","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958399035&doi=10.1093%2fjaarel%2fXXXII.4.359&partnerID=40&md5=4a444f6c35880eb78ef29255651afd1f","Dartmouth College, Dartmouth, NH, United States","","English"
"1866","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957472927&doi=10.1093%2fnq%2fs3-X.236.16-e&partnerID=40&md5=d7820e68de827bf12470cdea3c0f0d4d","","","English"
"1988","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880088131&doi=10.1130%2fMEM169-p489&partnerID=40&md5=72c1f6ba51af5ab3d2aa6ffc56160f8d","Department of Geology, University of Illinois, Urbana, IL 61801, United States; Department of Geosciences, Purdue University, West Lafayette, IN 47907, United States","","English"
"2015","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028354790&doi=10.1002%2f9781118785539.ch28&partnerID=40&md5=07561c85160242544012b38b1156b81e","","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940545577&doi=10.7135%2f9780857283092.010&partnerID=40&md5=fa3311b8941a6ecfd241081a152206e8","Graduate Center, City University of New York, United States; Centre for Religion and Society, University of Western Sydney, Australia","","English"
