"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"1985","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65849156243&doi=10.1163%2f157006385X00348&partnerID=40&md5=1de4606b52e0bfff806361efe28e9a72","Bilthoven, Netherlands","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994252242&partnerID=40&md5=ab4843bea884936f4d8b235d829d96e1","Museo Archeologico di Milano, Italy","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979986020&doi=10.1080%2f14755610.2016.1216457&partnerID=40&md5=64d775b65fbc5e5dc5c232afe32e1ab8","Department of Humanities and Cultural Studies, University of South Florida, Tampa, FL, United States","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055378778&doi=10.1007%2f978-3-319-61744-2_11&partnerID=40&md5=f2509e35ba4676856226b0b4368b0906","Austin Heights Baptist Church, Nacogdoches, TX, United States","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145275810&doi=10.1163%2f15743012-bja10040&partnerID=40&md5=bdb6e500969309af97dfa5ba951fe957","Department of Biblical and Ancient Studies, University of South Africa, Pretoria, South Africa","","English"
"1964","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946250302&doi=10.1080%2f00393386408599851&partnerID=40&md5=1ab11ad2b1b6d08e3bab0e2f17c1540b","","","English"
"2005","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954371030&doi=10.1515%2f9783110234237.153&partnerID=40&md5=f7936e1b4aedbc4ec8441337860a44f5","Northern Arizona University, United States","","English"
"1980","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967139210&doi=10.1017%2fS0034670500030801&partnerID=40&md5=48c5603ca168b6ff19b8540ff66e0b03","","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064695852&doi=10.1558%2fIJSNR.37615&partnerID=40&md5=8652687ccc1fd2bbe2ec438ae1b35bf5","University of Southern, Denmark","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099703251&doi=10.1163%2f9789004445468_015&partnerID=40&md5=15822bde1642fe2243145c805dcb5935","","","English"
"1993","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976032127&doi=10.1017%2fS0031819100040079&partnerID=40&md5=01b141afce146a37855257a51874556a","","","English"
"2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900737645&partnerID=40&md5=c9456de1ef1061d67fc3df64b7e9ae7d","Syracuse University, United States","","English"
"1994","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960646858&doi=10.1525%2fjung.1.1994.13.2.51&partnerID=40&md5=a8027af2b4604c8d3b5a2eafab093f03","Tulane University, United States; Pacifica Graduate Institute, United States","","English"
"2003","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60949616725&doi=10.1177%2f03921921030504008&partnerID=40&md5=e12b1278775d9f2e249bb1f964a9caaa","","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037619230&doi=10.1163%2f18177565-00131p16&partnerID=40&md5=577a95ec5a2de06582a398a77cb8b6ea","Harvard University, Cambridge, MA, United States","","English"
"1980","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859239597&doi=10.1177%2f002114008004700101&partnerID=40&md5=e2e7b5c9c62fa3dd2b6d036ac3fcc1d4","","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103936881&partnerID=40&md5=c6200c2229bae6fae4d6b9883b031004","","","German"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139830362&doi=10.18566%2fcueteo.v49n112.a06&partnerID=40&md5=6ad6bd427685e8d8495ce524fe3593c7","Faculty of Theology and Religious Studies, Catholic University of Leuven-KU Leuven-, Belgium; Faculty of Theology, Catholic University of Leuven-KU Leuven-, Belgium","Fonds Wetenschappelijk Onderzoek, FWO","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897789224&doi=10.1093%2flitimag%2fimt071&partnerID=40&md5=59bea23854741d9cdaf98cb7ba531857","Department of English, Harvard University, Barker Center, Cambridge, MA, 12 Quincy Street, United States","","English"
"2009","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966565210&doi=10.1163%2fej.9789004175747.i-348&partnerID=40&md5=c353d97c8e75f821615e6f7651c4169d","","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028970551&partnerID=40&md5=02c9ea4760faaefd06da31834dd54128","Universidade Católica Portuguesa, Portugal","","English"
"2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148069241&doi=10.1017%2fS0017816023000056&partnerID=40&md5=2d14240e08d0a32f30077d07807a714e","Tel Aviv University, Israel","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103759866&partnerID=40&md5=4fc7f73b514c17a3ebc2656de99210c9","","","English"
"2017","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023597821&doi=10.5281%2fzenodo.826115&partnerID=40&md5=7942ad7f3ab6a59de7f736929c53447e","Freie Universität, Universität der Kunste, Berlin, Germany","","English"
"1960","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977254584&doi=10.1111%2fj.1468-2265.1960.tb00188.x&partnerID=40&md5=7f36c5cb956d995b81e5d0a7b81ce7cd","","","English"
"2000","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63849264352&doi=10.1086%2f468798&partnerID=40&md5=f0cfc87e1366d139e0c3e9a420897077","Bowdoin College, Brunswick, ME, United States","","English"
"2011","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947796573&partnerID=40&md5=f2bdcc9747f62d6ba9850748a965b632","Università Degli Studi di Messina, Italy","","English"
"1989","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974281173&doi=10.1017%2fS0028688500024607&partnerID=40&md5=9e16b2c22b135998dd38a8dc670ddece","","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024871148&doi=10.4324%2f9781315605159&partnerID=40&md5=c4ac11b05d274e3151feca80f722ab2a","Cardiff University, United Kingdom","","English"
"1968","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861103897&doi=10.1163%2f156852768X00093&partnerID=40&md5=2dd0861eaa51613e516dac0829c81aa4","","","English"
"2008","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004092965&partnerID=40&md5=b510c96a64c0eac4d2b6d4522fb448a1","Faculty of Theology, Saint Paul University, Ottawa, Canada","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064902414&doi=10.1558%2fIJSNR.37614&partnerID=40&md5=755bdde815a221adbe4bad1a5691a970","DePauw University, United States","","English"
"2009","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005963695&doi=10.1163%2fej.9789004172852.i-286.32&partnerID=40&md5=66e45eefc66e9ede889f2959c294cc42","Ottawa, Canada","","English"
"2006","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010302917&doi=10.1017%2fCHOL9780521812399.020&partnerID=40&md5=9a5400ac8bd4bceca5f1ff03f1b87163","University of California, Santa Barbara, United States","","English"
"1984","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966110602&doi=10.1163%2f156852784X00112&partnerID=40&md5=d72cab08589a51e5f15660aa263443bb","Dept. of History of Religions, University of Bergen, Norway","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963738879&partnerID=40&md5=bc1ebf8acb6e7b010fc0bfc30e04635a","","","English"
"2011","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455172169&doi=10.1163%2f157007211X591830&partnerID=40&md5=0dc93625552d6570aac4a9390059df28","Radboud University Nijmegen, University of Pretoria, South Africa","","English"
